id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jenis_kelamin,ijazah_tertinggi,jumlah_kepsek_guru,satuan,tahun
141,32,JAWA BARAT,3209,KABUPATEN CIREBON,LAKI-LAKI,< S1,1,ORANG,2020
142,32,JAWA BARAT,3209,KABUPATEN CIREBON,LAKI-LAKI,>= S1,54,ORANG,2020
143,32,JAWA BARAT,3209,KABUPATEN CIREBON,PEREMPUAN,< S1,0,ORANG,2020
144,32,JAWA BARAT,3209,KABUPATEN CIREBON,PEREMPUAN,>= S1,112,ORANG,2020
145,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,LAKI-LAKI,< S1,1,ORANG,2020
146,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,LAKI-LAKI,>= S1,62,ORANG,2020
147,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,PEREMPUAN,< S1,0,ORANG,2020
148,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,PEREMPUAN,>= S1,94,ORANG,2020
149,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,LAKI-LAKI,< S1,6,ORANG,2020
150,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,LAKI-LAKI,>= S1,111,ORANG,2020
151,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,PEREMPUAN,< S1,15,ORANG,2020
152,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,PEREMPUAN,>= S1,243,ORANG,2020
153,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,LAKI-LAKI,< S1,2,ORANG,2020
154,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,LAKI-LAKI,>= S1,20,ORANG,2020
155,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,PEREMPUAN,< S1,2,ORANG,2020
156,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,PEREMPUAN,>= S1,36,ORANG,2020
157,32,JAWA BARAT,3213,KABUPATEN SUBANG,LAKI-LAKI,< S1,0,ORANG,2020
